"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","8 SAINT THOMAS","ST. THOMAS WALK","Condominium","09","CCR","Freehold","Resale","1","1800000","-","549","Strata","26 to 30","3279","Aug-2019"
"2","PALM SPRING","EWE BOON ROAD","Condominium","10","CCR","Freehold","Resale","1","2480000","-","1485","Strata","06 to 10","1670","Aug-2019"
"3","VISIONCREST","OXLEY RISE","Apartment","09","CCR","Freehold","Resale","1","2250000","-","1141","Strata","11 to 15","1972","Aug-2019"
"4","FONTANA HEIGHTS","MOUNT SINAI RISE","Condominium","10","CCR","Freehold","Resale","1","5900000","-","3466","Strata","11 to 15","1702","Aug-2019"
"5","GRANGE RESIDENCES","GRANGE ROAD","Condominium","10","CCR","Freehold","Resale","1","6500000","-","2583","Strata","11 to 15","2516","Aug-2019"
"6","RV ALTITUDE","RIVER VALLEY ROAD","Apartment","09","CCR","Freehold","New Sale","1","1422000","-","441","Strata","11 to 15","3222","Aug-2019"
"7","3 CUSCADEN","CUSCADEN WALK","Apartment","10","CCR","Freehold","New Sale","1","2505155","-","732","Strata","01 to 05","3423","Aug-2019"
"8","LA CRYSTAL","KILLINEY ROAD","Apartment","09","CCR","Freehold","Resale","1","1928000","-","1055","Strata","11 to 15","1828","Aug-2019"
"9","NOUVEL 18","ANDERSON ROAD","Condominium","10","CCR","Freehold","Resale","1","9152000","-","2820","Strata","16 to 20","3245","Aug-2019"
"10","HAUS ON HANDY","HANDY ROAD","Condominium","09","CCR","99 yrs lease commencing from 2018","New Sale","1","2718400","-","947","Strata","06 to 10","2870","Aug-2019"
"11","ESTILO","WILKIE ROAD","Apartment","09","CCR","Freehold","Resale","1","1668000","-","1238","Strata","01 to 05","1347","Aug-2019"
"12","ESPADA","ST. THOMAS WALK","Apartment","09","CCR","Freehold","Resale","1","1100000","-","452","Strata","06 to 10","2433","Aug-2019"
"13","BOULEVARD 88","ORCHARD BOULEVARD","Apartment","10","CCR","Freehold","New Sale","1","4673700","-","1313","Strata","11 to 15","3559","Aug-2019"
"14","RESIDENTIAL APARTMENTS","SING AVENUE","Apartment","08","RCR","Freehold","Resale","1","1280000","-","1389","Strata","01 to 05","922","Aug-2019"
"15","NOUVEL 18","ANDERSON ROAD","Condominium","10","CCR","Freehold","Resale","1","11760000","-","3337","Strata","31 to 35","3524","Aug-2019"
"16","TWENTYONE ANGULLIA PARK","ANGULLIA PARK","Condominium","09","CCR","Freehold","Resale","1","10580000","-","2777","Strata","21 to 25","3810","Aug-2019"
"17","SOUTH BEACH RESIDENCES","BEACH ROAD","Apartment","07","CCR","99 yrs lease commencing from 2007","Resale","1","5159700","-","1593","Strata","26 to 30","3239","Aug-2019"
"18","NOUVEL 18","ANDERSON ROAD","Condominium","10","CCR","Freehold","Resale","1","11640000","-","3337","Strata","26 to 30","3488","Aug-2019"
"19","ROBERTSON 100","ROBERTSON QUAY","Apartment","09","CCR","Freehold","Resale","1","2000000","-","1044","Strata","06 to 10","1916","Aug-2019"
