"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","LANDED HOUSING DEVELOPMENT","FABER HEIGHTS","Semi-detached","05","OCR","Freehold","Resale","1","5150000","-","4053","Land","-","1271","Aug-2019"
"2","LANDED HOUSING DEVELOPMENT","PASIR PANJANG ROAD","Semi-detached","05","RCR","Freehold","Resale","1","2718000","-","2530","Land","-","1075","Jul-2019"
"3","LANDED HOUSING DEVELOPMENT","PASIR PANJANG ROAD","Terrace","05","RCR","Freehold","Resale","1","3100000","-","1886","Land","-","1644","Jul-2019"
"4","FABER HILLS","FABER GREEN","Terrace","05","OCR","Freehold","Resale","1","3025000","-","2102","Land","-","1439","Jul-2019"
"5","LANDED HOUSING DEVELOPMENT","OCEAN DRIVE","Terrace","04","CCR","99 yrs lease commencing from 2004","Resale","1","5700000","-","3316","Land","-","1719","Jun-2019"
"6","OCEAN 8","OCEAN DRIVE","Terrace","04","CCR","99 yrs lease commencing from 2005","Resale","1","4850000","-","2641","Land","-","1836","Jun-2019"
"7","LANDED HOUSING DEVELOPMENT","FABER AVENUE","Semi-detached","05","OCR","Freehold","Resale","1","4500000","-","4524","Land","-","995","Jun-2019"
"8","LANDED HOUSING DEVELOPMENT","FABER PARK","Detached","05","OCR","Freehold","Resale","1","6080000","-","6012","Land","-","1011","Jun-2019"
"9","CHELSEA VILLAGE","JAMBOL PLACE","Terrace","05","RCR","Freehold","Resale","1","3900000","-","4133","Land","-","944","May-2019"
"10","LANDED HOUSING DEVELOPMENT","SOUTH BUONA VISTA ROAD","Detached","05","RCR","Freehold","Resale","1","3900000","-","5597","Land","-","697","May-2019"
"11","LANDED HOUSING DEVELOPMENT","OCEAN DRIVE","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","14500000","-","9885","Land","-","1467","May-2019"
"12","LANDED HOUSING DEVELOPMENT","PASIR PANJANG ROAD","Terrace","05","RCR","Freehold","Resale","1","1900000","-","1530","Land","-","1242","May-2019"
"13","CHELSEA VILLAGE","JAMBOL PLACE","Terrace","05","RCR","Freehold","Resale","1","2820000","-","1887","Land","-","1494","Apr-2019"
"14","LANDED HOUSING DEVELOPMENT","COVE DRIVE","Detached","04","CCR","99 yrs lease commencing from 2006","Resale","1","32000000","-","18053","Land","-","1773","Apr-2019"
"15","LANDED HOUSING DEVELOPMENT","LORONG SARI","Terrace","05","RCR","Freehold","Resale","1","2810000","-","1643","Land","-","1711","Mar-2019"
"16","PASIR PANJANG GARDENS","JALAN MAS KUNING","Terrace","05","OCR","Freehold","Resale","1","3200000","-","2629","Land","-","1217","Mar-2019"
"17","LANDED HOUSING DEVELOPMENT","JUBILEE ROAD","Semi-detached","05","OCR","Freehold","Resale","1","3632888","-","2153","Land","-","1688","Mar-2019"
"18","THE CLEMENTVALE","MAS KUNING TERRACE","Terrace","05","OCR","99 yrs lease commencing from 1997","Resale","1","1950000","-","2619","Land","-","745","Mar-2019"
