"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1060500","-","969","Strata","11 to 15","1095","Aug-2019"
"2","RIVERPARC RESIDENCE","PUNGGOL DRIVE","Executive Condominium","19","OCR","99 yrs lease commencing from 2010","Resale","1","1280000","-","1981","Strata","16 to 20","646","Aug-2019"
"3","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1026400","-","904","Strata","11 to 15","1135","Aug-2019"
"4","RIVERPARC RESIDENCE","PUNGGOL DRIVE","Executive Condominium","19","OCR","99 yrs lease commencing from 2010","Resale","1","920000","-","990","Strata","16 to 20","929","Aug-2019"
"5","ESPARINA RESIDENCES","COMPASSVALE BOW","Executive Condominium","19","OCR","99 yrs lease commencing from 2010","Resale","1","1230000","-","1066","Strata","16 to 20","1154","Aug-2019"
"6","BELYSA","PASIR RIS DRIVE 1","Executive Condominium","18","OCR","99 yrs lease commencing from 2011","Resale","1","760000","-","829","Strata","11 to 15","917","Aug-2019"
"7","ESPARINA RESIDENCES","COMPASSVALE BOW","Executive Condominium","19","OCR","99 yrs lease commencing from 2010","Resale","1","990000","-","1076","Strata","01 to 05","920","Aug-2019"
"8","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1500000","-","1367","Strata","06 to 10","1097","Aug-2019"
"9","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1110000","-","1044","Strata","11 to 15","1063","Aug-2019"
"10","ESPARINA RESIDENCES","COMPASSVALE BOW","Executive Condominium","19","OCR","99 yrs lease commencing from 2010","Resale","1","1150000","-","1066","Strata","01 to 05","1079","Aug-2019"
"11","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1479200","-","1356","Strata","06 to 10","1091","Aug-2019"
"12","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1495200","-","1561","Strata","06 to 10","958","Aug-2019"
"13","ESPARINA RESIDENCES","COMPASSVALE BOW","Executive Condominium","19","OCR","99 yrs lease commencing from 2010","Resale","1","938000","-","829","Strata","11 to 15","1132","Jul-2019"
"14","BELYSA","PASIR RIS DRIVE 1","Executive Condominium","18","OCR","99 yrs lease commencing from 2011","Resale","1","975000","-","1442","Strata","01 to 05","676","Jul-2019"
"15","THE RIVERVALE","RIVERVALE LINK","Executive Condominium","19","OCR","99 yrs lease commencing from 1997","Resale","1","968000","-","1367","Strata","01 to 05","708","Jul-2019"
"16","AUSTVILLE RESIDENCES","SENGKANG EAST AVENUE","Executive Condominium","19","OCR","99 yrs lease commencing from 2010","Resale","1","880000","-","1023","Strata","01 to 05","861","Jul-2019"
"17","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1134700","-","990","Strata","16 to 20","1146","Jul-2019"
"18","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","940000","-","840","Strata","06 to 10","1120","Jul-2019"
"19","RIVERPARC RESIDENCE","PUNGGOL DRIVE","Executive Condominium","19","OCR","99 yrs lease commencing from 2010","Resale","1","830000","-","990","Strata","01 to 05","838","Jul-2019"
"20","RIVERPARC RESIDENCE","PUNGGOL DRIVE","Executive Condominium","19","OCR","99 yrs lease commencing from 2010","Resale","1","765000","-","829","Strata","11 to 15","923","Jul-2019"
"21","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1519200","-","1367","Strata","06 to 10","1111","Jul-2019"
"22","PRIVE","PUNGGOL FIELD","Executive Condominium","19","OCR","99 yrs lease commencing from 2010","Resale","1","1130000","-","1098","Strata","06 to 10","1029","Jul-2019"
"23","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1093500","-","990","Strata","01 to 05","1104","Jul-2019"
"24","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1504000","-","1367","Strata","11 to 15","1100","Jul-2019"
"25","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1544000","-","1367","Strata","11 to 15","1129","Jul-2019"
"26","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1222400","-","1206","Strata","01 to 05","1014","Jul-2019"
"27","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1523200","-","1367","Strata","06 to 10","1114","Jul-2019"
"28","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1447000","-","1367","Strata","06 to 10","1059","Jul-2019"
"29","PIERMONT GRAND","SUMANG WALK","Executive Condominium","19","OCR","99 years leasehold","New Sale","1","1112000","-","1012","Strata","11 to 15","1099","Jul-2019"
