"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","THE HILLOFT","JALAN DERMAWAN","Strata Semi-detached","23","OCR","999 yrs lease commencing from 1885","Resale","1","2800000","-","4962","Strata","-","564","Jul-2019"
"2","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","1950000","-","3369","Strata","-","579","Jul-2019"
"3","HILLSTA","PHOENIX ROAD","Strata Terrace","23","OCR","99 yrs lease commencing from 2011","Resale","1","2680000","-","3229","Strata","-","830","Mar-2019"
"4","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","2350000","-","3778","Strata","-","622","Mar-2019"
"5","THE WOODS","WESTWOOD AVENUE","Strata Terrace","22","OCR","99 yrs lease commencing from 2010","Resale","1","1950000","-","4456","Strata","-","438","Mar-2019"
"6","WOODHAVEN","WOODGROVE AVENUE","Strata Terrace","25","OCR","99 yrs lease commencing from 2011","Resale","1","2688000","-","3358","Strata","-","800","Mar-2019"
"7","SUNCOTTAGES","CASHEW CRESCENT","Strata Terrace","23","OCR","999 yrs lease commencing from 1883","Resale","1","2765000","-","2906","Strata","-","951","Jan-2019"
"8","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","2130000","-","3509","Strata","-","607","Nov-2018"
"9","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","2136000","-","3778","Strata","-","565","Oct-2018"
"10","WOODHAVEN","WOODGROVE AVENUE","Strata Terrace","25","OCR","99 yrs lease commencing from 2011","Resale","1","2940000","-","3358","Strata","-","875","Oct-2018"
"11","THE WOODS","WESTWOOD AVENUE","Strata Terrace","22","OCR","99 yrs lease commencing from 2010","Resale","1","2030000","-","4263","Strata","-","476","Sep-2018"
"12","THE WOODS","WESTWOOD AVENUE","Strata Terrace","22","OCR","99 yrs lease commencing from 2010","Resale","1","1920000","-","4004","Strata","-","479","Aug-2018"
"13","THE WOODS","WESTWOOD AVENUE","Strata Terrace","22","OCR","99 yrs lease commencing from 2010","Resale","1","2120000","-","5038","Strata","-","421","Jul-2018"
"14","MONT TIMAH","BUKIT WAY","Strata Terrace","21","OCR","99 yrs lease commencing from 2004","Resale","1","3750000","-","4413","Strata","-","850","Jul-2018"
"15","HILLSTA","PHOENIX ROAD","Strata Terrace","23","OCR","99 yrs lease commencing from 2011","Resale","1","2666887","-","3358","Strata","-","794","Jun-2018"
"16","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","2300000","-","3175","Strata","-","724","Jun-2018"
"17","HILLSTA","PHOENIX ROAD","Strata Terrace","23","OCR","99 yrs lease commencing from 2011","Resale","1","2703500","-","3358","Strata","-","805","Jun-2018"
"18","SUMMIT VILLE","JALAN DERMAWAN","Strata Semi-detached","23","OCR","999 yrs lease commencing from 1885","Resale","1","2200000","-","3283","Strata","-","670","May-2018"
"19","HILLSTA","PHOENIX ROAD","Strata Terrace","23","OCR","99 yrs lease commencing from 2011","Resale","1","2636500","-","3369","Strata","-","783","May-2018"
"20","TRANQUILIA @ KISMIS","ENG KONG ROAD","Strata Terrace","21","RCR","Freehold","New Sale","1","3400000","-","5597","Strata","-","607","May-2018"
"21","HILLSTA","PHOENIX ROAD","Strata Terrace","23","OCR","99 yrs lease commencing from 2011","Resale","1","2688500","-","3369","Strata","-","798","May-2018"
"22","TRANQUILIA @ KISMIS","ENG KONG ROAD","Strata Terrace","21","RCR","Freehold","New Sale","1","3350000","-","4424","Strata","-","757","May-2018"
"23","TRANQUILIA @ KISMIS","ENG KONG ROAD","Strata Terrace","21","RCR","Freehold","New Sale","1","3400000","-","4359","Strata","-","780","Apr-2018"
"24","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","1950000","-","3046","Strata","-","640","Mar-2018"
"25","TRANQUILIA @ KISMIS","ENG KONG ROAD","Strata Terrace","21","RCR","Freehold","New Sale","1","3878100","-","5102","Strata","-","760","Mar-2018"
"26","THE HILLOFT","JALAN DERMAWAN","Strata Semi-detached","23","OCR","999 yrs lease commencing from 1885","Resale","1","2650000","-","4919","Strata","-","539","Mar-2018"
"27","TRANQUILIA @ KISMIS","ENG KONG ROAD","Strata Terrace","21","RCR","Freehold","New Sale","1","3500000","-","4456","Strata","-","785","Mar-2018"
"28","HILLSTA","PHOENIX ROAD","Strata Terrace","23","OCR","99 yrs lease commencing from 2011","Resale","1","2582670","-","3369","Strata","-","767","Mar-2018"
"29","HILLSTA","PHOENIX ROAD","Strata Terrace","23","OCR","99 yrs lease commencing from 2011","Resale","1","2631500","-","3369","Strata","-","781","Feb-2018"
"30","HILLSTA","PHOENIX ROAD","Strata Terrace","23","OCR","99 yrs lease commencing from 2011","Resale","1","2648170","-","3369","Strata","-","786","Feb-2018"
"31","HONG KONG PARK","HUA GUAN AVENUE","Strata Detached","21","RCR","999 yrs lease commencing from 1879","Resale","1","2860000","-","4219","Strata","-","678","Feb-2018"
"32","TRANQUILIA @ KISMIS","ENG KONG ROAD","Strata Terrace","21","RCR","Freehold","New Sale","1","3550000","-","4456","Strata","-","797","Feb-2018"
"33","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","1860000","-","3035","Strata","-","613","Feb-2018"
"34","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","2496400","-","3950","Strata","-","632","Feb-2018"
"35","TRANQUILIA @ KISMIS","ENG KONG ROAD","Strata Terrace","21","RCR","Freehold","New Sale","1","3550000","-","4456","Strata","-","797","Nov-2017"
"36","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","1830000","-","3175","Strata","-","576","Oct-2017"
"37","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","2170000","-","3778","Strata","-","574","Oct-2017"
"38","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","1810000","-","3175","Strata","-","570","Sep-2017"
"39","HILLSTA","PHOENIX ROAD","Strata Terrace","23","OCR","99 yrs lease commencing from 2011","Resale","1","2900000","-","3358","Strata","-","864","Sep-2017"
"40","THE HILLOFT","JALAN DERMAWAN","Strata Semi-detached","23","OCR","999 yrs lease commencing from 1885","Resale","1","2480000","-","4919","Strata","-","504","Sep-2017"
"41","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","1780000","-","3035","Strata","-","586","Aug-2017"
"42","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","1900000","-","3778","Strata","-","503","Aug-2017"
"43","BINJAI CREST","JALAN KAMPONG CHANTEK","Strata Terrace","21","RCR","99 yrs lease commencing from 1996","Resale","1","2150000","-","3778","Strata","-","569","Jul-2017"
"44","SUMMIT VILLE","JALAN DERMAWAN","Strata Semi-detached","23","OCR","999 yrs lease commencing from 1885","Resale","1","2200000","-","3046","Strata","-","722","Jul-2017"
"45","THE WOODS","WESTWOOD AVENUE","Strata Terrace","22","OCR","99 yrs lease commencing from 2010","Resale","1","1880000","-","4004","Strata","-","470","Jun-2017"
"46","HILLSTA","PHOENIX ROAD","Strata Terrace","23","OCR","99 yrs lease commencing from 2011","Resale","1","2760000","-","3369","Strata","-","819","Jun-2017"
